idx_from,state_from,onset_from_s,idx_to,state_to,onset_to_s,transition_time_s,transition_id,state_from_freq,subject,block
44,4,94.8675,45,5,96.495,1.6274999999999977,45,h,BE13RE,B2
45,5,96.495,46,7,98.601875,2.1068750000000023,57,s,BE13RE,B2
46,7,98.601875,47,8,100.3775,1.775624999999991,78,h,BE13RE,B2
47,8,100.3775,48,9,102.155625,1.7781250000000028,89,h,BE13RE,B2
48,9,102.155625,49,1,103.77875,1.6231250000000017,91,h,BE13RE,B2
49,1,103.77875,50,2,106.700625,2.921875,12,h,BE13RE,B2
50,2,106.700625,51,3,109.66375000000001,2.963125000000005,23,h,BE13RE,B2
51,3,109.66375000000001,52,4,111.2675,1.603749999999991,34,h,BE13RE,B2
52,4,111.2675,53,6,113.35062500000001,2.0831250000000097,46,s,BE13RE,B2
53,6,113.35062500000001,54,7,115.305,1.9543749999999989,67,h,BE13RE,B2
54,7,115.305,55,8,117.510625,2.2056249999999977,78,h,BE13RE,B2
55,8,117.510625,56,9,119.31375,1.8031249999999943,89,h,BE13RE,B2
56,9,119.31375,57,1,121.550625,2.2368749999999977,91,h,BE13RE,B2
57,1,121.550625,58,2,123.27875,1.7281250000000057,12,h,BE13RE,B2
58,2,123.27875,59,3,125.730625,2.451875000000001,23,h,BE13RE,B2
59,3,125.730625,60,2,127.99875,2.2681249999999977,32,s,BE13RE,B2
60,2,127.99875,61,3,129.81062500000002,1.8118750000000148,23,h,BE13RE,B2
61,3,129.81062500000002,62,4,131.375,1.564374999999984,34,h,BE13RE,B2
62,4,131.375,63,5,133.56,2.1850000000000023,45,h,BE13RE,B2
63,5,133.56,64,6,135.46875,1.9087499999999977,56,h,BE13RE,B2
64,6,135.46875,65,7,137.9475,2.478749999999991,67,h,BE13RE,B2
65,7,137.9475,66,8,139.776875,1.8293749999999989,78,h,BE13RE,B2
66,8,139.776875,67,1,141.475,1.6981250000000045,81,s,BE13RE,B2
67,1,141.475,68,2,143.19875,1.7237499999999955,12,h,BE13RE,B2
68,2,143.19875,69,3,145.26875,2.0700000000000216,23,h,BE13RE,B2
69,3,145.26875,70,4,146.8425,1.5737499999999898,34,h,BE13RE,B2
70,4,146.8425,71,5,148.735625,1.8931249999999977,45,h,BE13RE,B2
71,5,148.735625,72,6,150.6725,1.9368750000000148,56,h,BE13RE,B2
0,6,6.0875,1,7,8.151875,2.064375,67,h,BE13RE,B3
1,7,8.151875,2,8,9.7425,1.5906249999999993,78,h,BE13RE,B3
2,8,9.7425,3,9,11.30875,1.5662500000000001,89,h,BE13RE,B3
4,2,15.790000000000001,5,3,18.711875,2.9218749999999982,23,h,BE13RE,B3
5,3,18.711875,6,4,20.587500000000002,1.875625000000003,34,h,BE13RE,B3
6,4,20.587500000000002,7,5,22.700625,2.1131249999999966,45,h,BE13RE,B3
7,5,22.700625,8,6,24.905625,2.205000000000002,56,h,BE13RE,B3
8,6,24.905625,9,7,26.661875000000002,1.7562500000000014,67,h,BE13RE,B3
9,7,26.661875000000002,10,9,28.2725,1.6106249999999989,79,s,BE13RE,B3
10,9,28.2725,11,1,31.466875,3.194375000000001,91,h,BE13RE,B3
11,1,31.466875,12,2,33.097500000000004,1.630625000000002,12,h,BE13RE,B3
12,2,33.097500000000004,13,3,35.425000000000004,2.3275000000000006,23,h,BE13RE,B3
13,3,35.425000000000004,14,4,36.95,1.5249999999999986,34,h,BE13RE,B3
14,4,36.95,15,5,38.58375,1.6337499999999991,45,h,BE13RE,B3
15,5,38.58375,16,6,40.351875,1.7681249999999977,56,h,BE13RE,B3
16,6,40.351875,17,5,41.971875000000004,1.6200000000000045,65,s,BE13RE,B3
17,5,41.971875000000004,18,6,43.74875,1.7768749999999969,56,h,BE13RE,B3
18,6,43.74875,19,7,45.78,2.03125,67,h,BE13RE,B3
19,7,45.78,20,8,47.966875,2.1868750000000006,78,h,BE13RE,B3
20,8,47.966875,21,9,49.485625,1.5187499999999972,89,h,BE13RE,B3
21,9,49.485625,22,1,51.800625000000004,2.315000000000005,91,h,BE13RE,B3
22,1,51.800625000000004,23,2,54.731875,2.9312499999999986,12,h,BE13RE,B3
23,2,54.731875,24,4,56.260625000000005,1.5287500000000023,24,s,BE13RE,B3
24,4,56.260625000000005,25,5,57.865625,1.6049999999999969,45,h,BE13RE,B3
25,5,57.865625,26,6,59.347500000000004,1.4818750000000023,56,h,BE13RE,B3
26,6,59.347500000000004,27,7,61.17375,1.8262499999999946,67,h,BE13RE,B3
27,7,61.17375,28,8,63.141875,1.9681250000000006,78,h,BE13RE,B3
28,8,63.141875,29,9,65.08562500000001,1.9437500000000085,89,h,BE13RE,B3
29,9,65.08562500000001,30,1,66.995,1.9093749999999972,91,h,BE13RE,B3
30,1,66.995,31,3,69.38250000000001,2.387500000000003,13,s,BE13RE,B3
31,3,69.38250000000001,32,4,70.930625,1.5481249999999989,34,h,BE13RE,B3
32,4,70.930625,33,5,72.41,1.4793749999999903,45,h,BE13RE,B3
33,5,72.41,34,6,74.47500000000001,2.065000000000012,56,h,BE13RE,B3
34,6,74.47500000000001,35,7,76.20375,1.728749999999991,67,h,BE13RE,B3
35,7,76.20375,36,8,78.405625,2.201875000000001,78,h,BE13RE,B3
36,8,78.405625,37,9,79.976875,1.5712500000000063,89,h,BE13RE,B3
37,9,79.976875,38,1,81.75875,1.7818749999999994,91,h,BE13RE,B3
39,9,83.3275,40,1,85.6725,2.344999999999999,91,h,BE13RE,B3
40,1,85.6725,41,2,87.67,1.9975000000000023,12,h,BE13RE,B3
41,2,87.67,42,3,89.5675,1.8974999999999937,23,h,BE13RE,B3
42,3,89.5675,43,4,91.02,1.4525000000000006,34,h,BE13RE,B3
43,4,91.02,44,5,92.441875,1.421875,45,h,BE13RE,B3
44,5,92.441875,45,7,94.53,2.088125000000005,57,s,BE13RE,B3
45,7,94.53,46,8,97.856875,3.326875000000001,78,h,BE13RE,B3
46,8,97.856875,47,9,99.405625,1.5487499999999983,89,h,BE13RE,B3
47,9,99.405625,48,1,101.32000000000001,1.9143750000000068,91,h,BE13RE,B3
48,1,101.32000000000001,49,2,103.20875000000001,1.8887500000000017,12,h,BE13RE,B3
49,2,103.20875000000001,50,3,105.63062500000001,2.421875,23,h,BE13RE,B3
50,3,105.63062500000001,51,4,107.206875,1.5762499999999875,34,h,BE13RE,B3
51,4,107.206875,52,6,109.495,2.288125000000008,46,s,BE13RE,B3
52,6,109.495,53,7,111.4075,1.9124999999999943,67,h,BE13RE,B3
53,7,111.4075,54,8,113.485,2.0775000000000006,78,h,BE13RE,B3
54,8,113.485,55,9,115.20375,1.71875,89,h,BE13RE,B3
55,9,115.20375,56,1,116.7625,1.5587500000000034,91,h,BE13RE,B3
56,1,116.7625,57,2,120.041875,3.2793750000000017,12,h,BE13RE,B3
57,2,120.041875,58,3,121.77187500000001,1.730000000000004,23,h,BE13RE,B3
58,3,121.77187500000001,59,2,124.075,2.3031249999999943,32,s,BE13RE,B3
59,2,124.075,60,3,126.37375,2.2987499999999983,23,h,BE13RE,B3
60,3,126.37375,61,4,127.68,1.3062500000000057,34,h,BE13RE,B3
61,4,127.68,62,5,129.235,1.5550000000000068,45,h,BE13RE,B3
62,5,129.235,63,6,131.585,2.3499999999999943,56,h,BE13RE,B3
63,6,131.585,64,7,133.5825,1.9975000000000023,67,h,BE13RE,B3
64,7,133.5825,65,8,136.081875,2.4993749999999864,78,h,BE13RE,B3
65,8,136.081875,66,1,137.65375,1.5718750000000057,81,s,BE13RE,B3
66,1,137.65375,67,2,140.980625,3.326875000000001,12,h,BE13RE,B3
67,2,140.980625,68,3,142.74375,1.7631250000000023,23,h,BE13RE,B3
68,3,142.74375,69,4,144.125625,1.381875000000008,34,h,BE13RE,B3
69,4,144.125625,70,5,145.93875,1.8131249999999852,45,h,BE13RE,B3
70,5,145.93875,71,6,147.830625,1.8918749999999989,56,h,BE13RE,B3
0,6,7.75375,1,7,9.510625000000001,1.7568750000000009,67,h,BE13RE,B4
1,7,9.510625000000001,2,8,11.221875,1.7112499999999997,78,h,BE13RE,B4
2,8,11.221875,3,9,12.701875000000001,1.4800000000000004,89,h,BE13RE,B4
3,9,12.701875000000001,4,1,14.225625,1.5237499999999997,91,h,BE13RE,B4
4,1,14.225625,5,2,15.865625,1.6399999999999988,12,h,BE13RE,B4
5,2,15.865625,6,3,17.462500000000002,1.5968750000000025,23,h,BE13RE,B4
6,3,17.462500000000002,7,4,18.816875,1.3543749999999974,34,h,BE13RE,B4
7,4,18.816875,8,5,20.196875000000002,1.3800000000000026,45,h,BE13RE,B4
8,5,20.196875000000002,9,6,22.495,2.298124999999999,56,h,BE13RE,B4
9,6,22.495,10,7,24.111875,1.6168750000000003,67,h,BE13RE,B4
10,7,24.111875,11,9,25.68,1.5681249999999984,79,s,BE13RE,B4
11,9,25.68,12,1,28.0575,2.3775000000000013,91,h,BE13RE,B4
12,1,28.0575,13,2,30.6125,2.5549999999999997,12,h,BE13RE,B4
13,2,30.6125,14,3,32.26375,1.651250000000001,23,h,BE13RE,B4
14,3,32.26375,15,4,33.73375,1.4699999999999989,34,h,BE13RE,B4
15,4,33.73375,16,5,36.331875000000004,2.598125000000003,45,h,BE13RE,B4
16,5,36.331875000000004,17,6,38.075,1.7431249999999991,56,h,BE13RE,B4
17,6,38.075,18,5,39.60375,1.5287499999999952,65,s,BE13RE,B4
18,5,39.60375,19,6,41.155,1.5512500000000031,56,h,BE13RE,B4
19,6,41.155,20,7,42.961875,1.806874999999998,67,h,BE13RE,B4
20,7,42.961875,21,8,46.29,3.328125,78,h,BE13RE,B4
21,8,46.29,22,9,47.72875,1.4387499999999989,89,h,BE13RE,B4
22,9,47.72875,23,1,49.213750000000005,1.4850000000000065,91,h,BE13RE,B4
23,1,49.213750000000005,24,2,51.155,1.9412499999999966,12,h,BE13RE,B4
24,2,51.155,25,4,54.81,3.655000000000001,24,s,BE13RE,B4
25,4,54.81,26,5,57.686875,2.8768749999999983,45,h,BE13RE,B4
26,5,57.686875,27,6,59.70375,2.016874999999999,56,h,BE13RE,B4
27,6,59.70375,28,7,61.580625000000005,1.8768750000000054,67,h,BE13RE,B4
28,7,61.580625000000005,29,8,63.61875,2.0381249999999937,78,h,BE13RE,B4
29,8,63.61875,30,9,65.120625,1.5018750000000054,89,h,BE13RE,B4
30,9,65.120625,31,1,67.13187500000001,2.011250000000004,91,h,BE13RE,B4
31,1,67.13187500000001,32,3,69.37375,2.241874999999993,13,s,BE13RE,B4
32,3,69.37375,33,4,71.161875,1.7881249999999937,34,h,BE13RE,B4
33,4,71.161875,34,5,72.941875,1.7800000000000011,45,h,BE13RE,B4
34,5,72.941875,35,6,74.5575,1.6156250000000085,56,h,BE13RE,B4
35,6,74.5575,36,7,76.2425,1.6850000000000023,67,h,BE13RE,B4
36,7,76.2425,37,8,78.135625,1.8931249999999977,78,h,BE13RE,B4
37,8,78.135625,38,9,79.67875000000001,1.5431250000000034,89,h,BE13RE,B4
38,9,79.67875000000001,39,8,81.295625,1.6168749999999932,98,s,BE13RE,B4
39,8,81.295625,40,9,82.55875,1.2631250000000023,89,h,BE13RE,B4
40,9,82.55875,41,1,84.00750000000001,1.448750000000004,91,h,BE13RE,B4
